Island,Areamiles,Area,Nspecies
Albemarle,2249,5824.91,325
Charles,64,165.76,319
Chatham,195,505.05,306
James,203,525.77,224
Indefatigable,389,1007.51,193
Abingdon,20,51.8,119
Duncan,7.1,18.389,103
Narborough,245,634.55,80
Hood,18,46.62,79
Seymour,1,2.59,52
Barringon,7.5,19.425,48
Gardner,0.2,0.518,48
Bindloe,45,116.55,47
Jervis,1.87,4.8433,42
Tower,4.4,11.396,22
Wenman,1.8,4.662,14
Culpepper,0.9,2.331,7
